01,数学学院
0101,数学学院行政
0102,计算实验室
0103,多媒体及公共设备
0104,其他及库房
01Q1,其他（退休）
01X1,数理金融与精算科学系
01X2,高等数学教学部
01X3,数学系
01X4,统计学系
01X5,信息与概率
01X6,科学与工程计算系
01X7,应用数学系
02,物理科学学院
0201,物理学院院直
0202,理论物理学科
0203,凝聚态与材料物理学科
0204,粒子碰撞实验室
0205,光学学科
0206,其他（退休）
02J1,基础物理实验教学中心
02J101,基础物理实验室
02J102,近代物理实验室
02J103,演示物理实验室
02J10A,物理教学中心办公室
03,化学学院
0301,化学学院行政
03J1,化学实验教学中心
03J101,基础化学实验室
03J102,中级化学实验室
03J103,综合化学实验室
03J10A,化学教学中心办公室
03Q1,其他（退休）
03S1,元素有机化学国家重点实验室
03S2,功能高分子材料实验室
03X1,化学系
03X101,无机化学教研室
03X102,有机化学教研室
03X103,分析化学教研室
03X104,物理化学教研室
03X105,高分子化学教研室
03X106,化学系其它
03X2,材料化学系
03X201,新催化材料化学研究所
03X202,新能源化学研究所
03X203,材料教研室
03X204,材料系其它
03Z1,农药国家工程研究中心
03Z2,化学学院中心实验室
04,环境科学与工程学院
0401,环科院行政
0402,环科院科研综合
0403,环科院教学综合
04J1,环境科学与工程实验教学中心
04J101,环境科学实验室
04J102,环境工程实验室
04J103,环境信息系统实验室
04J104,大型仪器实验室
04J10A,环科教学中心办公室
04Q1,其他（退休）
05,电子信息与光学工程学院
0501,电光学院行政
05J1,电子信息实验教学中心
05J101,基础实验室
05J102,新技术实验室
05J103,计算机应用实验室
05J104,计算机实验室
05J105,智能控制实验室
05J106,专业实验室
05J10A,信息教学中心办公室
05S1,现代光学所
05S2,光电子技术研究所
05X1,电子科学与工程系
05X2,微电子工程系
05X3,电子信息工程系
05X7,其他(退休)
05X8,其他(遗留)
05X4,通信工程系
05X5,光电子系
05Z1,IC设计中心
06,生命科学学院
0601,生科院行政
0602,生科院中心实验室
0603,生物技术服务中心
06J1,生物实验教学中心
06J101,植物生物学实验室
06J102,动物生物学实验室
06J103,微生物学实验室
06J104,细胞与遗传学实验室
06J105,生化与生子分物学实验室
06J10A,生科教学中心办公室
06Q1,其他（退休）
06S1,分子所
06S2,昆虫所
06X1,生物化学和分子生物学系
06X2,微生物学系
06X3,植物生物学和生态学系
06X4,动物生物学和发育生物学系
06X5,遗传学与细胞生物学系
06X6,泰达生物技术学院
06Z1,生物活性材料研究实验室
07,软件学院
0701,软件学院行政
0702,软件学院教学综合
0703,软件学院科研综合
07J1,计算机实验室
07Q1,其他（退休）
07X1,软件工程系
08,医学院
0801,医学院行政
0802,医学院科研综合
08J1,医学实验教学中心
08J101,宏观形态学实验室
08J102,机能实验室
08J103,微观形态学实验室
08J104,生化与分子遗传学实验室
08J105,微生物与免疫学实验室
08J106,医学信息实验室
08J107,临床技能实训室
08Q1,其他（退休）
09,药学院
0901,药学院行政
0902,药学院教学综合
0903,药学院科研综合
09Q1,其他（退休）
0A,数学所
0A01,数学所仪器室
0A02,嘉园
0AQ1,其他（退休）
0B,科学计算研究所
0B01,科学所仪器室
0BQ1,其他（退休）
0C,组合数学研究中心
0C01,核心数学与组合数学实验室
